"Id","Label","Classification"
"Mel Gibson","Mel Gibson","DIRECTOR"
"The Grudge","The Grudge","MOVIE"
"Sarah Michelle Gellar","Sarah Michelle Gellar","ACTOR"
"Clea DuVall","Clea DuVall","ACTOR"
"Ted Raimi","Ted Raimi","ACTOR"
"Takashi Shimizu","Takashi Shimizu","DIRECTOR"
"Undisputed","Undisputed","MOVIE"
"Fisher Stevens","Fisher Stevens","ACTOR"
"Wes Studi","Wes Studi","ACTOR"
"Jon Seda","Jon Seda","ACTOR"
"Walter Hill","Walter Hill","DIRECTOR"
"Varsity Blues","Varsity Blues","MOVIE"
"Ron Lester","Ron Lester","ACTOR"
"Mark Walters","Mark Walters","ACTOR"
"Brian Robbins","Brian Robbins","DIRECTOR"
"Mo' Better Blues","Mo' Better Blues","MOVIE"
"Denzel Washington","Denzel Washington","ACTOR-DIRECTOR"
"Nicholas Turturro","Nicholas Turturro","ACTOR"
"Charlie Murphy","Charlie Murphy","ACTOR"
"Spike Lee","Spike Lee","DIRECTOR"
"Lights Out","Lights Out","MOVIE"
"Billy Burke","Billy Burke","ACTOR"
"Amiah Miller","Amiah Miller","ACTOR"
"Gabriel Bateman","Gabriel Bateman","ACTOR"
"David F. Sandberg","David F. Sandberg","DIRECTOR"
"Growing Up Smith","Growing Up Smith","MOVIE"
"Brighton Sharbino","Brighton Sharbino","ACTOR"
"Jake Busey","Jake Busey","ACTOR"
"Tim Guinee","Tim Guinee","ACTOR"
"Frank Lotito","Frank Lotito","DIRECTOR"
"River's Edge","River's Edge","MOVIE"
"Keanu Reeves","Keanu Reeves","ACTOR"
"Daniel Roebuck","Daniel Roebuck","ACTOR"
"Ione Skye","Ione Skye","ACTOR"
"Tim Hunter","Tim Hunter","DIRECTOR"
"Faithful","Faithful","MOVIE"
"Chazz Palminteri","Chazz Palminteri","ACTOR"
"Ryan O'Neal","Ryan O'Neal","ACTOR"
"Paul Mazursky","Paul Mazursky","ACTOR-DIRECTOR"
"War & Peace","War & Peace","MOVIE"
"Jim Broadbent","Jim Broadbent","ACTOR"
"Tuppence Middleton","Tuppence Middleton","ACTOR"
"Lily James","Lily James","ACTOR"
"","","DIRECTOR"
"The Midnight Meat Train","The Midnight Meat Train","MOVIE"
"Brooke Shields","Brooke Shields","ACTOR"
"Leslie Bibb","Leslie Bibb","ACTOR"
"Ry--hei Kitamura","Ry--hei Kitamura","DIRECTOR"
"Nebraska","Nebraska","MOVIE"
"Devin Ratray","Devin Ratray","ACTOR"
"Bruce Dern","Bruce Dern","ACTOR"
"Will Forte","Will Forte","ACTOR"
"Alexander Payne","Alexander Payne","DIRECTOR"
"Red Dawn","Red Dawn","MOVIE"
"Lea Thompson","Lea Thompson","ACTOR"
"Jennifer Grey","Jennifer Grey","ACTOR"
"William Smith","William Smith","ACTOR"
"John Milius","John Milius","DIRECTOR"
"The Bridges of Madison County","The Bridges of Madison County","MOVIE"
"Meryl Streep","Meryl Streep","ACTOR"
"Debra Monk","Debra Monk","ACTOR"
"Four Single Fathers","Four Single Fathers","MOVIE"
"Stephanie Szostak","Stephanie Szostak","ACTOR"
"Sarah Rafferty","Sarah Rafferty","ACTOR"
"Salvatore Santone","Salvatore Santone","ACTOR"
"Paolo Monico","Paolo Monico","DIRECTOR"
"Shorts","Shorts","MOVIE"
"Jimmy Bennett","Jimmy Bennett","ACTOR"
"Leo Howard","Leo Howard","ACTOR"
"Jake Short","Jake Short","ACTOR"
"Robert Rodriguez","Robert Rodriguez","DIRECTOR"
"Pinocchio","Pinocchio","MOVIE"
"Mel Blanc","Mel Blanc","ACTOR"
"Dickie Jones","Dickie Jones","ACTOR"
"Cliff Edwards","Cliff Edwards","ACTOR"
"Norman Ferguson","Norman Ferguson","DIRECTOR"
"Bandidas","Bandidas","MOVIE"
"Salma Hayek","Salma Hayek","ACTOR"
"Sam Shepard","Sam Shepard","ACTOR"
"Dwight Yoakam","Dwight Yoakam","ACTOR"
"Joachim R--nning","Joachim R--nning","DIRECTOR"
"Fifty Dead Men Walking","Fifty Dead Men Walking","MOVIE"
"Jim Sturgess","Jim Sturgess","ACTOR"
"Kevin Zegers","Kevin Zegers","ACTOR"
"Michael McElhatton","Michael McElhatton","ACTOR"
"Kari Skogland","Kari Skogland","DIRECTOR"
"Say It Isn't So","Say It Isn't So","MOVIE"
"Eddie Cibrian","Eddie Cibrian","ACTOR"
"Chris Klein","Chris Klein","ACTOR"
"Jack Plotnick","Jack Plotnick","ACTOR"
"J.B. Rogers","J.B. Rogers","DIRECTOR"
"Charlie's Angels","Charlie's Angels","MOVIE"
"Bill Murray","Bill Murray","ACTOR"
"LL Cool J","LL Cool J","ACTOR"
"Kelly Lynch","Kelly Lynch","ACTOR"
"McG","McG","DIRECTOR"
"Eve's Bayou","Eve's Bayou","MOVIE"
"Jurnee Smollett-Bell","Jurnee Smollett-Bell","ACTOR"
"Lynn Whitfield","Lynn Whitfield","ACTOR"
"Diahann Carroll","Diahann Carroll","ACTOR"
"Kasi Lemmons","Kasi Lemmons","DIRECTOR"
"Fat, Sick & Nearly Dead","Fat, Sick & Nearly Dead","MOVIE"
"Joe Cross","Joe Cross","ACTOR-DIRECTOR"
"Joel Fuhrman","Joel Fuhrman","ACTOR"
"Amy Badberg","Amy Badberg","ACTOR"
"Mean Machine","Mean Machine","MOVIE"
"Danny Dyer","Danny Dyer","ACTOR"
"Barry Skolnick","Barry Skolnick","DIRECTOR"
"Waking Ned Devine","Waking Ned Devine","MOVIE"
"James Nesbitt","James Nesbitt","ACTOR"
"David Kelly","David Kelly","ACTOR"
"Fionnula Flanagan","Fionnula Flanagan","ACTOR"
"Kirk Jones","Kirk Jones","DIRECTOR"
"Office Space","Office Space","MOVIE"
"Stephen Root","Stephen Root","ACTOR"
"Diedrich Bader","Diedrich Bader","ACTOR"
"Mike Judge","Mike Judge","DIRECTOR"
"Beginners","Beginners","MOVIE"
"Goran Visnjic","Goran Visnjic","ACTOR"
"Lou Taylor Pucci","Lou Taylor Pucci","ACTOR"
"Mary Page Keller","Mary Page Keller","ACTOR"
"Mike Mills","Mike Mills","DIRECTOR"
"Rushmore","Rushmore","MOVIE"
"Connie Nielsen","Connie Nielsen","ACTOR"
"Olivia Williams","Olivia Williams","ACTOR"
"Wes Anderson","Wes Anderson","DIRECTOR"
"D--j-- Vu","D--j-- Vu","MOVIE"
"Vanessa Redgrave","Vanessa Redgrave","ACTOR"
"Stephen Dillane","Stephen Dillane","ACTOR"
"Michael Brandon","Michael Brandon","ACTOR"
"Henry Jaglom","Henry Jaglom","DIRECTOR"
"The Spiderwick Chronicles","The Spiderwick Chronicles","MOVIE"
"Martin Short","Martin Short","ACTOR"
"Tod Fennell","Tod Fennell","ACTOR"
"Joan Plowright","Joan Plowright","ACTOR"
"Mark Waters","Mark Waters","DIRECTOR"
"The Thirteenth Floor","The Thirteenth Floor","MOVIE"
"Gretchen Mol","Gretchen Mol","ACTOR"
"Craig Bierko","Craig Bierko","ACTOR"
"Brad William Henke","Brad William Henke","ACTOR"
"Josef Rusnak","Josef Rusnak","DIRECTOR"
"Donkey Punch","Donkey Punch","MOVIE"
"Nichola Burley","Nichola Burley","ACTOR"
"Tom Burke","Tom Burke","ACTOR"
"Oliver Blackburn","Oliver Blackburn","DIRECTOR"
"Hotel Transylvania","Hotel Transylvania","MOVIE"
"Steve Buscemi","Steve Buscemi","ACTOR-DIRECTOR"
"Adam Sandler","Adam Sandler","ACTOR"
"Jon Lovitz","Jon Lovitz","ACTOR"
"Genndy Tartakovsky","Genndy Tartakovsky","DIRECTOR"
"Amidst the Devil's Wings","Amidst the Devil's Wings","MOVIE"
"Keri Maletto","Keri Maletto","ACTOR"
"Nicholas Simmons","Nicholas Simmons","ACTOR"
"Barbie Castro","Barbie Castro","ACTOR"
"Daniel Columbie","Daniel Columbie","DIRECTOR"
"On the Downlow","On the Downlow","MOVIE"
"Tatiana Suarez-Pico","Tatiana Suarez-Pico","ACTOR"
"Michael Cortez","Michael Cortez","ACTOR"
"Eric Ambriz","Eric Ambriz","ACTOR"
"Tadeo Garcia","Tadeo Garcia","DIRECTOR"
"The Ant Bully","The Ant Bully","MOVIE"
"Nicolas Cage","Nicolas Cage","ACTOR"
"Julia Roberts","Julia Roberts","ACTOR"
"John A. Davis","John A. Davis","DIRECTOR"
"The Muse","The Muse","MOVIE"
"Jeff Bridges","Jeff Bridges","ACTOR"
"Bradley Whitford","Bradley Whitford","ACTOR"
"Albert Brooks","Albert Brooks","ACTOR-DIRECTOR"
"Water","Water","MOVIE"
"John Abraham","John Abraham","ACTOR"
"Lisa Ray","Lisa Ray","ACTOR"
"Seema Biswas","Seema Biswas","ACTOR"
"Deepa Mehta","Deepa Mehta","DIRECTOR"
"Zoom","Zoom","MOVIE"
"Rip Torn","Rip Torn","ACTOR"
"Thomas F. Wilson","Thomas F. Wilson","ACTOR"
"Peter Hewitt","Peter Hewitt","DIRECTOR"
"3 Strikes","3 Strikes","MOVIE"
"Mo'Nique","Mo'Nique","ACTOR"
"Mike Epps","Mike Epps","ACTOR"
"Faizon Love","Faizon Love","ACTOR"
"DJ Pooh","DJ Pooh","ACTOR-DIRECTOR"
"Gentlemen Broncos","Gentlemen Broncos","MOVIE"
"Jizelle Jade","Jizelle Jade","ACTOR"
"H--ctor Jim--nez","H--ctor Jim--nez","ACTOR"
"Jared Hess","Jared Hess","DIRECTOR"
"Eragon","Eragon","MOVIE"
"Djimon Hounsou","Djimon Hounsou","ACTOR"
"Ed Speleers","Ed Speleers","ACTOR"
"Gary Lewis","Gary Lewis","ACTOR"
"Stefen Fangmeier","Stefen Fangmeier","DIRECTOR"
"Dragonball: Evolution","Dragonball: Evolution","MOVIE"
"Ian Whyte","Ian Whyte","ACTOR"
"Texas Battle","Texas Battle","ACTOR"
"Randall Duk Kim","Randall Duk Kim","ACTOR"
"People I Know","People I Know","MOVIE"
"Al Pacino","Al Pacino","ACTOR"
"Richard Schiff","Richard Schiff","ACTOR"
"Mark Webber","Mark Webber","ACTOR"
"Daniel Algrant","Daniel Algrant","DIRECTOR"
"Never Say Never Again","Never Say Never Again","MOVIE"
"Bernie Casey","Bernie Casey","ACTOR"
"Klaus Maria Brandauer","Klaus Maria Brandauer","ACTOR"
"Barbara Carrera","Barbara Carrera","ACTOR"
"Irvin Kershner","Irvin Kershner","ACTOR-DIRECTOR"
"Young Adult","Young Adult","MOVIE"
"Charlize Theron","Charlize Theron","ACTOR"
"Patton Oswalt","Patton Oswalt","ACTOR"
"Collette Wolfe","Collette Wolfe","ACTOR"
"Jason Reitman","Jason Reitman","DIRECTOR"
"1911","1911","MOVIE"
"Bingbing Li","Bingbing Li","ACTOR"
"Joan Chen","Joan Chen","ACTOR-DIRECTOR"
"Jaycee Chan","Jaycee Chan","ACTOR"
"Li Zhang","Li Zhang","DIRECTOR"
"Starship Troopers","Starship Troopers","MOVIE"
"Patrick Muldoon","Patrick Muldoon","ACTOR"
"Seth Gilliam","Seth Gilliam","ACTOR"
"Paul Verhoeven","Paul Verhoeven","DIRECTOR"
"Coach Carter","Coach Carter","MOVIE"
"Channing Tatum","Channing Tatum","ACTOR"
"Rick Gonzalez","Rick Gonzalez","ACTOR"
"Robert Ri'chard","Robert Ri'chard","ACTOR"
"Thomas Carter","Thomas Carter","DIRECTOR"
"The Last House on the Left","The Last House on the Left","MOVIE"
"Tony Goldwyn","Tony Goldwyn","ACTOR-DIRECTOR"
"Monica Potter","Monica Potter","ACTOR"
"Martha MacIsaac","Martha MacIsaac","ACTOR"
"Dennis Iliadis","Dennis Iliadis","DIRECTOR"
"Robin and Marian","Robin and Marian","MOVIE"
"Robert Shaw","Robert Shaw","ACTOR"
"Denholm Elliott","Denholm Elliott","ACTOR"
"Nicol Williamson","Nicol Williamson","ACTOR"
"Richard Lester","Richard Lester","DIRECTOR"
"Miss Congeniality 2: Armed and Fabulous","Miss Congeniality 2: Armed and Fabulous","MOVIE"
"Eileen Brennan","Eileen Brennan","ACTOR"
"Treat Williams","Treat Williams","ACTOR"
"John Pasquin","John Pasquin","DIRECTOR"
"The Janky Promoters","The Janky Promoters","MOVIE"
"Tamala Jones","Tamala Jones","ACTOR"
"Glenn Plummer","Glenn Plummer","ACTOR"
"Marcus Raboy","Marcus Raboy","DIRECTOR"
"Inglourious Basterds","Inglourious Basterds","MOVIE"
"Michael Fassbender","Michael Fassbender","ACTOR"
"Brad Pitt","Brad Pitt","ACTOR"
"Christoph Waltz","Christoph Waltz","ACTOR"
"Quentin Tarantino","Quentin Tarantino","ACTOR-DIRECTOR"
"Pacific Rim","Pacific Rim","MOVIE"
"Charlie Hunnam","Charlie Hunnam","ACTOR"
"Clifton Collins Jr.","Clifton Collins Jr.","ACTOR"
"Larry Joe Campbell","Larry Joe Campbell","ACTOR"
"Guillermo del Toro","Guillermo del Toro","DIRECTOR"
"Oz the Great and Powerful","Oz the Great and Powerful","MOVIE"
"Tim Holmes","Tim Holmes","ACTOR"
"Mila Kunis","Mila Kunis","ACTOR"
"James Franco","James Franco","ACTOR"
"Sam Raimi","Sam Raimi","DIRECTOR"
"The Alamo","The Alamo","MOVIE"
"Dennis Quaid","Dennis Quaid","ACTOR"
"Marc Blucas","Marc Blucas","ACTOR"
"Jordi Moll--","Jordi Moll--","ACTOR"
"John Lee Hancock","John Lee Hancock","DIRECTOR"
"Vantage Point","Vantage Point","MOVIE"
"Edgar Ram--rez","Edgar Ram--rez","ACTOR"
"William Hurt","William Hurt","ACTOR"
"Pete Travis","Pete Travis","DIRECTOR"
"The Kid","The Kid","MOVIE"
"Lily Tomlin","Lily Tomlin","ACTOR"
"Daniel von Bargen","Daniel von Bargen","ACTOR"
"Jon Turteltaub","Jon Turteltaub","DIRECTOR"
"A Haunted House 2","A Haunted House 2","MOVIE"
"Ashley Rickards","Ashley Rickards","ACTOR"
"Essence Atkins","Essence Atkins","ACTOR"
"Gabriel Iglesias","Gabriel Iglesias","ACTOR"
"Michael Tiddes","Michael Tiddes","DIRECTOR"
"Surfer, Dude","Surfer, Dude","MOVIE"
"Matthew McConaughey","Matthew McConaughey","ACTOR"
"Scott Glenn","Scott Glenn","ACTOR"
"Sarah Wright","Sarah Wright","ACTOR"
"S.R. Bindler","S.R. Bindler","DIRECTOR"
"Unfriended","Unfriended","MOVIE"
"Shelley Hennig","Shelley Hennig","ACTOR"
"Renee Olstead","Renee Olstead","ACTOR"
"Heather Sossaman","Heather Sossaman","ACTOR"
"Levan Gabriadze","Levan Gabriadze","DIRECTOR"
"Xi you ji zhi: Sun Wukong san da Baigu Jing","Xi you ji zhi: Sun Wukong san da Baigu Jing","MOVIE"
"Li Gong","Li Gong","ACTOR"
"Aaron Kwok","Aaron Kwok","ACTOR"
"Eddie Peng","Eddie Peng","ACTOR"
"Pou-Soi Cheang","Pou-Soi Cheang","DIRECTOR"
"Pink Narcissus","Pink Narcissus","MOVIE"
"Don Brooks","Don Brooks","ACTOR"
"Bobby Kendall","Bobby Kendall","ACTOR"
"James Bidgood","James Bidgood","DIRECTOR"
"Dwegons and Leprechauns","Dwegons and Leprechauns","MOVIE"
"Joey D. Vieira","Joey D. Vieira","ACTOR"
"Maggie Wheeler","Maggie Wheeler","ACTOR"
"Jacqueline Lovell","Jacqueline Lovell","ACTOR"
"Tom Walsh","Tom Walsh","DIRECTOR"
"The Maid's Room","The Maid's Room","MOVIE"
"Paula Garc--s","Paula Garc--s","ACTOR"
"Annabella Sciorra","Annabella Sciorra","ACTOR"
"John Brodsky","John Brodsky","ACTOR"
"Michael Walker","Michael Walker","DIRECTOR"
"The End of the Affair","The End of the Affair","MOVIE"
"Stephen Rea","Stephen Rea","ACTOR"
"Ian Hart","Ian Hart","ACTOR"
"James Bolam","James Bolam","ACTOR"
"Neil Jordan","Neil Jordan","DIRECTOR"
"Zipper","Zipper","MOVIE"
"Ray Winstone","Ray Winstone","ACTOR"
"Alexandra Breckenridge","Alexandra Breckenridge","ACTOR"
"Elena Satine","Elena Satine","ACTOR"
"Mora Stephens","Mora Stephens","DIRECTOR"
"Step Up Revolution","Step Up Revolution","MOVIE"
"Ryan Guzman","Ryan Guzman","ACTOR"
"Stephen Boss","Stephen Boss","ACTOR"
"Misha Gabriel Hamilton","Misha Gabriel Hamilton","ACTOR"
"Scott Speer","Scott Speer","DIRECTOR"
"Club Dread","Club Dread","MOVIE"
"Brittany Daniel","Brittany Daniel","ACTOR"
"Lindsay Price","Lindsay Price","ACTOR"
"Jay Chandrasekhar","Jay Chandrasekhar","ACTOR-DIRECTOR"
"The Last Sin Eater","The Last Sin Eater","MOVIE"
"Henry Thomas","Henry Thomas","ACTOR"
"Louise Fletcher","Louise Fletcher","ACTOR"
"A.J. Buckley","A.J. Buckley","ACTOR"
"Michael Landon Jr.","Michael Landon Jr.","DIRECTOR"
"The Dog Lover","The Dog Lover","MOVIE"
"Christina Moore","Christina Moore","ACTOR"
"Cullen Douglas","Cullen Douglas","ACTOR"
"Alex Ranarivelo","Alex Ranarivelo","DIRECTOR"
"The Gunman","The Gunman","MOVIE"
"Mark Rylance","Mark Rylance","ACTOR"
"Jasmine Trinca","Jasmine Trinca","ACTOR"
"Pierre Morel","Pierre Morel","DIRECTOR"
"The Greatest Show on Earth","The Greatest Show on Earth","MOVIE"
"Gloria Grahame","Gloria Grahame","ACTOR"
"Dorothy Lamour","Dorothy Lamour","ACTOR"
"Cornel Wilde","Cornel Wilde","ACTOR"
"Cecil B. DeMille","Cecil B. DeMille","DIRECTOR"
"Roar","Roar","MOVIE"
"Tippi Hedren","Tippi Hedren","ACTOR"
"Melanie Griffith","Melanie Griffith","ACTOR"
"Zakes Mokae","Zakes Mokae","ACTOR"
"Noel Marshall","Noel Marshall","DIRECTOR"
"Coming Home","Coming Home","MOVIE"
"Daoming Chen","Daoming Chen","ACTOR"
"Ni Yan","Ni Yan","ACTOR"
"Yimou Zhang","Yimou Zhang","DIRECTOR"
"Everything Put Together","Everything Put Together","MOVIE"
"Radha Mitchell","Radha Mitchell","ACTOR"
"Alan Ruck","Alan Ruck","ACTOR"
"Megan Mullally","Megan Mullally","ACTOR"
"Marc Forster","Marc Forster","DIRECTOR"
"Lady in White","Lady in White","MOVIE"
"Alex Rocco","Alex Rocco","ACTOR"
"Lukas Haas","Lukas Haas","ACTOR"
"Katherine Helmond","Katherine Helmond","ACTOR"
"Frank LaLoggia","Frank LaLoggia","DIRECTOR"
"Brave New Girl","Brave New Girl","MOVIE"
"Virginia Madsen","Virginia Madsen","ACTOR"
"Aaron Ashmore","Aaron Ashmore","ACTOR"
"Lindsey Haun","Lindsey Haun","ACTOR"
"Bobby Roth","Bobby Roth","DIRECTOR"
"No Man's Land: The Rise of Reeker","No Man's Land: The Rise of Reeker","MOVIE"
"Mircea Monroe","Mircea Monroe","ACTOR"
"Lew Temple","Lew Temple","ACTOR"
"Robert Pine","Robert Pine","ACTOR"
"Dave Payne","Dave Payne","DIRECTOR"
"Once Upon a Time in Queens","Once Upon a Time in Queens","MOVIE"
"Michael Rapaport","Michael Rapaport","ACTOR"
"Paul Sorvino","Paul Sorvino","ACTOR"
"Dave Rodriguez","Dave Rodriguez","DIRECTOR"
"The Lost Medallion: The Adventures of Billy Stone","The Lost Medallion: The Adventures of Billy Stone","MOVIE"
"Alex Kendrick","Alex Kendrick","ACTOR-DIRECTOR"
"Jansen Panettiere","Jansen Panettiere","ACTOR"
"Tiya Sircar","Tiya Sircar","ACTOR"
"Bill Muir","Bill Muir","DIRECTOR"
"The Shallows","The Shallows","MOVIE"
"--scar Jaenada","--scar Jaenada","ACTOR"
"Brett Cullen","Brett Cullen","ACTOR"
"Sedona Legge","Sedona Legge","ACTOR"
"Jaume Collet-Serra","Jaume Collet-Serra","DIRECTOR"
"The Artist","The Artist","MOVIE"
"B--r--nice Bejo","B--r--nice Bejo","ACTOR"
"Ed Lauter","Ed Lauter","ACTOR"
"Beth Grant","Beth Grant","ACTOR"
"Michel Hazanavicius","Michel Hazanavicius","DIRECTOR"
"They","They","MOVIE"
"Alexander Gould","Alexander Gould","ACTOR"
"Ethan Embry","Ethan Embry","ACTOR"
"Robert Harmon","Robert Harmon","DIRECTOR"
"The Nut Job","The Nut Job","MOVIE"
"Liam Neeson","Liam Neeson","ACTOR"
"Brendan Fraser","Brendan Fraser","ACTOR"
"Sarah Gadon","Sarah Gadon","ACTOR"
"Peter Lepeniotis","Peter Lepeniotis","DIRECTOR"
"Galaxina","Galaxina","MOVIE"
"Stephen Macht","Stephen Macht","ACTOR"
"Avery Schreiber","Avery Schreiber","ACTOR"
"Angelo Rossitto","Angelo Rossitto","ACTOR"
"William Sachs","William Sachs","DIRECTOR"
"Deliver Us from Evil","Deliver Us from Evil","MOVIE"
"Olivia Munn","Olivia Munn","ACTOR"
